value	label
DLR-K	DLR-K
DLR-L	DLR-L
DLX	DLX
DLY	DLY
DMB	DMB
DMO	DMO
DMY.U	DMY.U
DMY.W	DMY.W
DMYT	DMYT
DNI	DNI
DNK	DNK
DNOW	DNOW
DNP	DNP
DNR	DNR
DOC	DOC
DOOR	DOOR
DOV	DOV
DOW	DOW
DPG	DPG
DPZ	DPZ
DQ	DQ
DRD	DRD
DRE	DRE
DRH	DRH
DRI	DRI
DRQ	DRQ
DRUA	DRUA
DS	DS
DS-B	DS-B
DS-C	DS-C
DS-D	DS-D
DSE	DSE
DSL	DSL
DSM	DSM
DSSI	DSSI
DSU	DSU
DSX	DSX
DSX-B	DSX-B
DT	DT
DTE	DTE
DTF	DTF
DTJ	DTJ
DTL.P	DTL.P
DTP	DTP
DTQ	DTQ
DTW	DTW
DTY	DTY
DUC	DUC
DUK	DUK
DUK-A	DUK-A
DUKB	DUKB
DUKH	DUKH
DVA	DVA
DVD	DVD
DVN	DVN
DX	DX
DX-B	DX-B
DX-C	DX-C
DXC	DXC
DY	DY
E	E
EAB	EAB
EAE	EAE
EAF	EAF
EAI	EAI
EARN	EARN
EAT	EAT
EB	EB
EBF	EBF
EBR	EBR
EBR.B	EBR.B
EBS	EBS
EC	EC
ECC	ECC
ECCB	ECCB
ECCX	ECCX
ECCY	ECCY
ECL	ECL
ECOM	ECOM
ECT	ECT
ED	ED
EDD	EDD
EDF	EDF
EDI	EDI
EDN	EDN
EDU	EDU
EE	EE
EEA	EEA
EEX	EEX
EFC	EFC
EFC-A	EFC-A
EFF	EFF
EFL	EFL
EFR	EFR
EFT	EFT
EFX	EFX
EGF	EGF
EGHT	EGHT
EGIF	EGIF
EGO	EGO
EGP	EGP
EGY	EGY
EHC	EHC
EHI	EHI
EHT	EHT
EIC	EIC
EIG	EIG
EIX	EIX
EL	EL
ELAN	ELAN
ELAT	ELAT
ELC	ELC
ELF	ELF
ELJ	ELJ
ELP	ELP
ELS	ELS
ELU	ELU
ELVT	ELVT
ELY	ELY
EMD	EMD
EME	EME
EMF	EMF
EMN	EMN
EMO	EMO
EMP	EMP
EMR	EMR
ENB	ENB
ENBA	ENBA
ENBL	ENBL
ENIA	ENIA
ENIC	ENIC
ENJ	ENJ
ENLC	ENLC
ENO	ENO
ENR	ENR
ENR-A	ENR-A
ENS	ENS
ENV	ENV
ENVA	ENVA
ENZ	ENZ
EOD	EOD
EOG	EOG
EOI	EOI
EOS	EOS
EOT	EOT
EP-C	EP-C
EPAC	EPAC
EPAM	EPAM
EPC	EPC
